,,2014 VOTERS' REGISTER,,2014 GUBERNATORIAL RESULT,,2018 GUBERNATORIAL RESULT,,,2022 VOTERS' REGISTER,,,,,2022 GUBERNATORIAL RESULT,,,,,,
12,ILEJEMEJE," 11,797 ", 91 ," 3,670 "," 3,336 "," 3,937 "," 4,153 ",-216, 91 ," 18,790 "," 7,984 "," 8,196 ", 44.09 ," 1,157 "," 4,357 "," 2,344 ",361," 3,200 "," 1,187 ",
13,IREPODUN/ IFELODUN," 54,446 ", 160 ," 13,038 "," 6,834 "," 11,456 "," 13,869 ",-2413, 174 ," 70,467 "," 22,641 "," 23,743 ", 33.69 ," 4,712 "," 13,125 "," 5,010 ",617," 8,413 ", 298 ,
14,ISE ORUN," 35,096 ", 108 ," 10,136 "," 5,809 "," 6,297 "," 11,908 ",-5611, 114 ," 46,696 "," 16,850 "," 16,817 ", 36.76 ," 2,588 "," 8,074 "," 5,909 ",602," 5,486 "," 3,321 ",
15,MOBA," 40,563 ", 112 ," 8,878 "," 7,994 "," 8,520 "," 11,837 ",-3317, 116 ," 53,293 "," 19,749 "," 20,456 ", 38.38 ," 3,530 "," 11,609 "," 4,904 ",331," 8,079 "," 1,374 ",
16,OYE," 45,911 ", 190 ," 11,200 "," 10,176 "," 11,271 "," 14,995 ",-3724, 191 ," 65,422 "," 21,645 "," 23,012 ", 35.59 ," 4,122 "," 13,396 "," 5,391 ",755," 9,274 "," 1,269 ",
17,Total," 732,059 "," 2,195 "," 203,090 "," 120,432 "," 178,114 "," 197,459 "," 19,345 "," 2,445 "," 988,923 "," 336,861 "," 345,166 ", 35.29 ," 67,457 "," 187,057 "," 82,211 "," 14,901 "," 119,600 "," 14,754 ",
,,,,,,,,,,,,,,,,,,,,
,Number of Votes ,APC,"187,366",,,,,,,,,,,,,,,,,
,,PDP," 67,624 ",,,,,,,,,,,,,,,,,
,,SDP,"82,250",,,,,,,,,,,,,,,,,
,,OTHERS,"14,901",,,,,,,,,,,,,,,,,
, Difference (APC vs PDP),,"119,600",,,,,,,,,,,,,,,,,
, Difference (SDP vs PDP),,"14,754",,,,,,,,,,,,,,,,,
,Registered voters,," 989,224 ",,,,,,,,,,,,,,,,,
,Accredited voters,," 365,438 ",,,,,,,,,,,,,,,,,
,Valid votes,," 351,865 ",,,,,,,,,,,,,,,,,
,Rejected votes,," 8,888 ",,,,,,,,,,,,,,,,,
,Total votes cast,," 360,753 ",,,,,,,,,,,,,,,,,
,Turn Out,,35.29%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
